text,label
metronidazole treats crohn's disease, True
colchicine treats familial mediterranean fever, True
bevacizumab treats hereditary hemorrhagic telangiectasia, True
factor ix treats hemophilia b, True
alpha-galactosidase treats fabry disease, True
immune checkpoint inhibitors treats melanoma, True
6-mercaptopurine treats crohn's disease, True
argipressin treats central diabetes insipidus, True
mercaptopurine treats crohn's disease, True
pembrolizumab treats melanoma, True
antineoplastic agents treats osteosarcoma, True
alpha-d-galactosidase enzyme treats fabry disease, True
prothrombin complex concentrates treats hemophilia b, True
agalsidase alfa treats fabry disease, True
agalsidase beta treats fabry disease, True
immunosuppressive agents treats crohn's disease, True
everolimus treats tuberous sclerosis, True
amiloride treats cystic fibrosis, True
nitisinone treats alkaptonuria, True
immune checkpoint inhibitor treats melanoma, True
azithromycin treats cystic fibrosis, True
liraglutide treats obesity, True
antibiotics treats cystic fibrosis, True
protein-tyrosine kinase inhibitor treats sarcoma, True
macrolide antibiotics treats cystic fibrosis, True
